requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200111,A13076801,0,0,0,0,0,0,0,0,0,0
200112,A13076801,0,0,0,0,0,0,0,0,0,0
200201,A13076801,0,0,0,0,0,0,0,0,0,0
200202,A13076801,0,0,0,0,0,0,0,0,0,0
200203,A13076801,0,0,0,0,0,0,0,0,0,0
200204,A13076801,0,0,0,0,0,0,0,0,0,0
200205,A13076801,0,0,0,0,0,0,0,0,0,0
200206,A13076801,0,0,0,0,0,0,0,0,0,0
200207,A13076801,0,0,0,0,0,0,0,0,0,0
200208,A13076801,0,0,0,0,0,0,0,0,0,0
200209,A13076801,0,0,0,0,0,0,0,0,0,0
200210,A13076801,0,0,0,0,0,0,0,0,0,0
200211,A13076801,0,0,0,0,0,0,0,0,0,0
200212,A13076801,0,0,0,0,0,0,0,0,0,0
200301,A13076801,0,0,0,0,0,0,0,0,0,0
200302,A13076801,0,0,0,0,0,0,0,0,0,0
200303,A13076801,0,0,0,0,0,0,0,0,0,0
200304,A13076801,0,0,0,0,0,0,0,0,0,0
200305,A13076801,0,0,0,0,0,0,0,0,0,0
200306,A13076801,0,0,0,0,0,0,0,0,0,0
200307,A13076801,0,0,0,0,0,0,0,0,0,0
200308,A13076801,0,0,0,0,0,0,0,0,0,0
200309,A13076801,0,0,0,0,0,0,0,0,0,0
200310,A13076801,0,0,0,0,0,0,0,0,0,0
200311,A13076801,0,0,0,0,0,0,0,0,0,0
200312,A13076801,0,0,0,0,0,0,0,0,0,0
200401,A13076801,0,0,0,0,0,0,0,0,0,0
200402,A13076801,0,0,0,0,0,0,0,0,0,0
200403,A13076801,0,0,0,0,0,0,0,0,0,0
200404,A13076801,0,0,0,0,0,0,0,0,0,0
200405,A13076801,0,0,0,0,0,0,0,0,0,0
200406,A13076801,0,0,0,0,0,0,0,0,0,0
200407,A13076801,0,0,0,0,0,0,0,0,0,0
200408,A13076801,0,0,0,0,0,0,0,0,0,0
200409,A13076801,0,0,0,0,0,0,0,0,0,0
200410,A13076801,0,0,0,0,0,0,0,0,0,0
200411,A13076801,0,0,0,0,0,0,0,0,0,0
200412,A13076801,0,0,0,0,0,0,0,0,0,0
200501,A13076801,0,0,0,0,0,0,0,0,0,0
200502,A13076801,0,0,0,0,0,0,0,0,0,0
200503,A13076801,0,0,0,0,0,0,0,0,0,0
200504,A13076801,0,0,0,0,0,0,0,0,0,0
200505,A13076801,0,0,0,0,0,0,0,0,0,0
200506,A13076801,0,0,0,0,0,0,0,0,0,0
200507,A13076801,0,0,0,0,0,0,0,0,0,0
200508,A13076801,0,0,0,0,0,0,0,0,0,0
200509,A13076801,0,0,0,0,0,0,0,0,0,0
200510,A13076801,0,0,0,0,0,0,0,0,0,0
200511,A13076801,0,0,0,0,0,0,0,0,0,0
200512,A13076801,0,0,0,0,0,0,0,0,0,0
200601,A13076801,0,0,0,0,0,0,0,0,0,0
200602,A13076801,0,0,0,0,0,0,0,0,0,0
