requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
199410,A13007004,0,0,0,0,0,0,0,0,0,0
199411,A13007004,0,0,0,0,0,0,0,0,0,0
199412,A13007004,0,0,0,0,0,0,0,0,0,0
199501,A13007004,0,0,0,0,0,0,0,0,0,0
199502,A13007004,0,0,0,0,0,0,0,0,0,0
199503,A13007004,0,0,0,0,0,0,0,0,0,0
199504,A13007004,0,0,0,0,0,0,0,0,0,0
199505,A13007004,0,0,0,0,0,0,0,0,0,0
199506,A13007004,0,0,0,0,0,0,0,0,0,0
199507,A13007004,0,0,0,0,0,0,0,0,0,0
199508,A13007004,0,0,0,0,0,0,0,0,0,0
199509,A13007004,0,0,0,0,0,0,0,0,0,0
199510,A13007004,0,0,0,0,0,0,0,0,0,0
199511,A13007004,0,0,0,0,0,0,0,0,0,0
199512,A13007004,0,0,0,0,0,0,0,0,0,0
199601,A13007004,0,0,0,0,0,0,0,0,0,0
199602,A13007004,0,0,0,0,0,0,0,0,0,0
199603,A13007004,0,0,0,0,0,0,0,0,0,0
199604,A13007004,0,0,0,0,0,0,0,0,0,0
199605,A13007004,0,0,0,0,0,0,0,0,0,0
199606,A13007004,0,0,0,0,0,0,0,0,0,0
199607,A13007004,0,0,0,0,0,0,0,0,0,0
199608,A13007004,0,0,0,0,0,0,0,0,0,0
199609,A13007004,0,0,0,0,0,0,0,0,0,0
199610,A13007004,0,0,0,0,0,0,0,0,0,0
199611,A13007004,0,0,0,0,0,0,0,0,0,0
199612,A13007004,0,0,0,0,0,0,0,0,0,0
199701,A13007004,0,0,0,0,0,0,0,0,0,0
199702,A13007004,0,0,0,0,0,0,0,0,0,0
199703,A13007004,0,0,0,0,0,0,0,0,0,0
199704,A13007004,0,0,0,0,0,0,0,0,0,0
199705,A13007004,0,0,0,0,0,0,0,0,0,0
199706,A13007004,0,0,0,0,0,0,0,0,0,0
199707,A13007004,0,0,0,0,0,0,0,0,0,0
199708,A13007004,0,0,0,0,0,0,0,0,0,0
199709,A13007004,0,0,0,0,0,0,0,0,0,0
199710,A13007004,0,0,0,0,0,0,0,0,0,0
199711,A13007004,0,0,0,0,0,0,0,0,0,0
199712,A13007004,0,0,0,0,0,0,0,0,0,0
199801,A13007004,0,0,0,0,0,0,0,0,0,0
199802,A13007004,0,0,0,0,0,0,0,0,0,0
199803,A13007004,0,0,0,0,0,0,0,0,0,0
199804,A13007004,0,0,0,0,0,0,0,0,0,0
199805,A13007004,0,0,0,0,0,0,0,0,0,0
199806,A13007004,0,0,0,0,0,0,0,0,0,0
199807,A13007004,0,0,0,0,0,0,0,0,0,0
199808,A13007004,0,0,0,0,0,0,0,0,0,0
199809,A13007004,0,0,0,0,0,0,0,0,0,0
199810,A13007004,0,0,0,0,0,0,0,0,0,0
199811,A13007004,0,0,0,0,0,0,0,0,0,0
199812,A13007004,0,0,0,0,0,0,0,0,0,0
199901,A13007004,0,0,0,0,0,0,0,0,0,0
199902,A13007004,0,0,0,0,0,0,0,0,0,0
199903,A13007004,0,0,0,0,0,0,0,0,0,0
199904,A13007004,0,0,0,0,0,0,0,0,0,0
199905,A13007004,0,0,0,0,0,0,0,0,0,0
199906,A13007004,0,0,0,0,0,0,0,0,0,0
199907,A13007004,0,0,0,0,0,0,0,0,0,0
199908,A13007004,0,0,0,0,0,0,0,0,0,0
199909,A13007004,0,0,0,0,0,0,0,0,0,0
199910,A13007004,0,0,0,0,0,0,0,0,0,0
199911,A13007004,0,0,0,0,0,0,0,0,0,0
199912,A13007004,0,0,0,0,0,0,0,0,0,0
200001,A13007004,0,0,0,0,0,0,0,0,0,0
200002,A13007004,0,0,0,0,0,0,0,0,0,0
200003,A13007004,0,0,0,0,0,0,0,0,0,0
200004,A13007004,0,0,0,0,0,0,0,0,0,0
200005,A13007004,0,0,0,0,0,0,0,0,0,0
200006,A13007004,0,0,0,0,0,0,0,0,0,0
200007,A13007004,0,0,0,0,0,0,0,0,0,0
200008,A13007004,0,0,0,0,0,0,0,0,0,0
200009,A13007004,0,0,0,0,0,0,0,0,0,0
200010,A13007004,0,0,0,0,0,0,0,0,0,0
200011,A13007004,0,0,0,0,0,0,0,0,0,0
200012,A13007004,0,0,0,0,0,0,0,0,0,0
200101,A13007004,0,0,0,0,0,0,0,0,0,0
200102,A13007004,0,0,0,0,0,0,0,0,0,0
200103,A13007004,0,0,0,0,0,0,0,0,0,0
200104,A13007004,0,0,0,0,0,0,0,0,0,0
200105,A13007004,0,0,0,0,0,0,0,0,0,0
200106,A13007004,0,0,0,0,0,0,0,0,0,0
200107,A13007004,0,0,0,0,0,0,0,0,0,0
200108,A13007004,0,0,0,0,0,0,0,0,0,0
200109,A13007004,0,0,0,0,0,0,0,0,0,0
200110,A13007004,0,0,0,0,0,0,0,0,0,0
200111,A13007004,0,0,0,0,0,0,0,0,0,0
200112,A13007004,0,0,0,0,0,0,0,0,0,0
200201,A13007004,0,0,0,0,0,0,0,0,0,0
200202,A13007004,0,0,0,0,0,0,0,0,0,0
200203,A13007004,0,0,0,0,0,0,0,0,0,0
200204,A13007004,0,0,0,0,0,0,0,0,0,0
200205,A13007004,0,0,0,0,0,0,0,0,0,0
200206,A13007004,0,0,0,0,0,0,0,0,0,0
200207,A13007004,0,0,0,0,0,0,0,0,0,0
200208,A13007004,0,0,0,0,0,0,0,0,0,0
200209,A13007004,0,0,0,0,0,0,0,0,0,0
200210,A13007004,0,0,0,0,0,0,0,0,0,0
200211,A13007004,0,0,0,0,0,0,0,0,0,0
200212,A13007004,0,0,0,0,0,0,0,0,0,0
200301,A13007004,0,0,0,0,0,0,0,0,0,0
200302,A13007004,0,0,0,0,0,0,0,0,0,0
