requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200105,A13378101,0,0,0,0,0,0,0,0,0,0
200106,A13378101,0,0,0,0,0,0,0,0,0,0
200107,A13378101,0,0,0,0,0,0,0,0,0,0
200108,A13378101,0,0,0,0,0,0,0,0,0,0
200109,A13378101,0,0,0,0,0,0,0,0,0,0
200110,A13378101,0,0,0,0,0,0,0,0,0,0
200111,A13378101,0,0,0,0,0,0,0,0,0,0
200112,A13378101,0,0,0,0,0,0,0,0,0,0
200201,A13378101,0,0,0,0,0,0,0,0,0,0
200202,A13378101,0,0,0,0,0,0,0,0,0,0
200203,A13378101,0,0,0,0,0,0,0,0,0,0
200204,A13378101,0,0,0,0,0,0,0,0,0,0
200205,A13378101,0,0,0,0,0,0,0,0,0,0
200206,A13378101,0,0,0,0,0,0,0,0,0,0
200207,A13378101,0,0,0,0,0,0,0,0,0,0
200208,A13378101,0,0,0,0,0,0,0,0,0,0
200209,A13378101,0,0,0,0,0,0,0,0,0,0
200210,A13378101,0,0,0,0,0,0,0,0,0,0
200211,A13378101,0,0,0,0,0,0,0,0,0,0
200212,A13378101,0,0,0,0,0,0,0,0,0,0
200301,A13378101,0,0,0,0,0,0,0,0,0,0
200302,A13378101,0,0,0,0,0,0,0,0,0,0
200303,A13378101,0,0,0,0,0,0,0,0,0,0
200304,A13378101,0,0,0,0,0,0,0,0,0,0
200305,A13378101,0,0,0,0,0,0,0,0,0,0
200306,A13378101,0,0,0,0,0,0,0,0,0,0
200307,A13378101,0,0,0,0,0,0,0,0,0,0
200308,A13378101,0,0,0,0,0,0,0,0,0,0
200309,A13378101,0,0,0,0,0,0,0,0,0,0
200310,A13378101,0,0,0,0,0,0,0,0,0,0
200311,A13378101,0,0,0,0,0,0,0,0,0,0
200312,A13378101,0,0,0,0,0,0,0,0,0,0
200401,A13378101,0,0,0,0,0,0,0,0,0,0
200402,A13378101,0,0,0,0,0,0,0,0,0,0
200403,A13378101,0,0,0,0,0,0,0,0,0,0
200404,A13378101,0,0,0,0,0,0,0,0,0,0
200405,A13378101,0,0,0,0,0,0,0,0,0,0
200406,A13378101,0,0,0,0,0,0,0,0,0,0
200407,A13378101,0,0,0,0,0,0,0,0,0,0
200408,A13378101,0,0,0,0,0,0,0,0,0,0
200409,A13378101,0,0,0,0,0,0,0,0,0,0
200410,A13378101,0,0,0,0,0,0,0,0,0,0
