requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
199707,A15876401,0,0,0,0,0,0,0,0,0,0
199708,A15876401,0,0,0,0,0,0,0,0,0,0
199709,A15876401,0,0,0,0,0,0,0,0,0,0
199710,A15876401,0,0,0,0,0,0,0,0,0,0
199711,A15876401,0,0,0,0,0,0,0,0,0,0
199712,A15876401,0,0,0,0,0,0,0,0,0,0
199801,A15876401,0,0,0,0,0,0,0,0,0,0
199802,A15876401,0,0,0,0,0,0,0,0,0,0
199803,A15876401,0,0,0,0,0,0,0,0,0,0
199804,A15876401,0,0,0,0,0,0,0,0,0,0
199805,A15876401,0,0,0,0,0,0,0,0,0,0
199806,A15876401,0,0,0,0,0,0,0,0,0,0
199807,A15876401,0,0,0,0,0,0,0,0,0,0
199808,A15876401,0,0,0,0,0,0,0,0,0,0
199809,A15876401,0,0,0,0,0,0,0,0,0,0
199810,A15876401,0,0,0,0,0,0,0,0,0,0
199811,A15876401,0,0,0,0,0,0,0,0,0,0
199812,A15876401,0,0,0,0,0,0,0,0,0,0
199901,A15876401,0,0,0,0,0,0,0,0,0,0
199902,A15876401,0,0,0,0,0,0,0,0,0,0
199903,A15876401,0,0,0,0,0,0,0,0,0,0
199904,A15876401,0,0,0,0,0,0,0,0,0,0
199905,A15876401,0,0,0,0,0,0,0,0,0,0
199906,A15876401,0,0,0,0,0,0,0,0,0,0
199907,A15876401,0,0,0,0,0,0,0,0,0,0
199908,A15876401,0,0,0,0,0,0,0,0,0,0
199909,A15876401,0,0,0,0,0,0,0,0,0,0
199910,A15876401,0,0,0,0,0,0,0,0,0,0
199911,A15876401,0,0,0,0,0,0,0,0,0,0
199912,A15876401,0,0,0,0,0,0,0,0,0,0
200001,A15876401,0,0,0,0,0,0,0,0,0,0
200002,A15876401,0,0,0,0,0,0,0,0,0,0
200003,A15876401,0,0,0,0,0,0,0,0,0,0
200004,A15876401,0,0,0,0,0,0,0,0,0,0
